date,spot_price,futures_price,basis_absolute,basis_percent,annualized_basis,days_to_expiry,futures_expiry
2025-02-14,97256.00,105355.00,8099.00,8.33,217.11,14,2025-02-28
2025-02-17,95992.75,105355.00,9362.25,9.75,323.62,11,2025-02-28
2025-02-18,94180.50,101575.00,7394.50,7.85,286.58,10,2025-02-28
2025-02-19,96162.75,104005.00,7842.25,8.16,330.74,9,2025-02-28
2025-02-20,98507.25,106597.00,8089.75,8.21,374.69,8,2025-02-28
2025-02-21,94951.25,102245.00,7293.75,7.68,400.54,7,2025-02-28
2025-02-24,93973.25,101505.00,7531.75,8.01,731.35,4,2025-02-28
2025-02-25,88077.00,94977.00,6900.00,7.83,953.14,3,2025-02-28
2025-02-26,84301.50,91026.00,6724.50,7.98,1455.75,2,2025-02-28
2025-02-27,83421.00,89995.00,6574.00,7.88,2876.39,1,2025-02-28
2025-02-28,84173.75,90881.00,6707.25,7.97,0.00,0,2025-02-28
2025-03-03,86002.50,92668.00,6665.50,7.75,113.16,25,2025-03-28
2025-03-04,86828.50,93758.00,6929.50,7.98,121.37,24,2025-03-28
2025-03-05,90510.75,97628.00,7117.25,7.86,124.79,23,2025-03-28
2025-03-06,89044.25,96045.00,7000.75,7.86,130.44,22,2025-03-28
2025-03-07,86973.25,93672.00,6698.75,7.70,133.87,21,2025-03-28
2025-03-10,79007.00,84842.00,5835.00,7.39,149.76,18,2025-03-28
2025-03-11,83120.00,89533.00,6413.00,7.72,165.65,17,2025-03-28
2025-03-12,82916.25,89276.00,6359.75,7.67,174.97,16,2025-03-28
2025-03-13,80171.75,86151.00,5979.25,7.46,181.48,15,2025-03-28
2025-03-14,84590.75,91085.00,6494.25,7.68,200.16,14,2025-03-28
2025-03-17,84472.75,90838.00,6365.25,7.54,250.03,11,2025-03-28
2025-03-18,82316.75,88283.00,5966.25,7.25,264.55,10,2025-03-28
2025-03-19,85455.50,91938.00,6482.50,7.59,307.65,9,2025-03-28
2025-03-20,84147.00,90392.00,6245.00,7.42,338.61,8,2025-03-28
2025-03-21,83940.50,90135.00,6194.50,7.38,384.80,7,2025-03-28
2025-03-24,88286.00,94923.00,6637.00,7.52,685.98,4,2025-03-28
2025-03-25,88144.25,94644.00,6499.75,7.37,897.17,3,2025-03-28
2025-03-26,86574.75,92840.00,6265.25,7.24,1320.72,2,2025-03-28
2025-03-27,87039.50,93363.00,6323.50,7.27,2651.76,1,2025-03-28
2025-03-28,83724.25,89722.00,5997.75,7.16,0.00,0,2025-03-28
2025-03-31,82408.00,88297.00,5889.00,7.15,104.33,25,2025-04-25
2025-04-01,84965.50,91115.00,6149.50,7.24,110.07,24,2025-04-25
2025-04-02,86908.00,93277.00,6369.00,7.33,116.30,23,2025-04-25
2025-04-03,81933.75,87715.00,5781.25,7.06,117.07,22,2025-04-25
2025-04-04,83982.25,90048.00,6065.75,7.22,125.54,21,2025-04-25
2025-04-07,78088.25,83530.00,5441.75,6.97,141.31,18,2025-04-25
2025-04-08,76743.00,82004.00,5261.00,6.86,147.19,17,2025-04-25
2025-04-09,82287.00,88196.00,5909.00,7.18,163.82,16,2025-04-25
2025-04-10,79610.00,85078.00,5468.00,6.87,167.13,15,2025-04-25
2025-04-11,83827.50,89776.00,5948.50,7.10,185.01,14,2025-04-25
2025-04-14,84905.75,90918.00,6012.25,7.08,234.96,11,2025-04-25
2025-04-15,83994.50,89845.00,5850.50,6.97,254.23,10,2025-04-25
2025-04-16,84343.25,90245.00,5901.75,7.00,283.78,9,2025-04-25
2025-04-17,84846.75,90859.00,6012.25,7.09,323.30,8,2025-04-25
2025-04-21,87427.50,93448.00,6020.50,6.89,628.37,4,2025-04-25
2025-04-22,91501.75,97852.00,6350.25,6.94,844.37,3,2025-04-25
2025-04-23,93536.50,99934.00,6397.50,6.84,1248.22,2,2025-04-25
2025-04-24,93603.00,100077.00,6474.00,6.92,2524.50,1,2025-04-25
2025-04-25,95404.75,101920.00,6515.25,6.83,0.00,0,2025-04-25
2025-04-28,94821.75,101184.00,6362.25,6.71,76.53,32,2025-05-30
2025-04-29,95332.00,101687.00,6355.00,6.67,78.49,31,2025-05-30
2025-04-30,94144.00,100326.00,6182.00,6.57,79.89,30,2025-05-30
2025-05-01,96578.25,102985.00,6406.75,6.63,83.49,29,2025-05-30
2025-05-02,96984.75,103303.00,6318.25,6.51,84.92,28,2025-05-30
2025-05-05,94337.00,100363.00,6026.00,6.39,93.26,25,2025-05-30
2025-05-06,94977.00,101083.00,6106.00,6.43,97.77,24,2025-05-30
2025-05-07,96183.75,102402.00,6218.25,6.46,102.60,23,2025-05-30
2025-05-08,101298.75,107832.00,6533.25,6.45,107.00,22,2025-05-30
2025-05-09,103196.25,109797.00,6600.75,6.40,111.17,21,2025-05-30
2025-05-12,101823.50,108187.00,6363.50,6.25,126.73,18,2025-05-30
2025-05-13,104838.25,111524.00,6685.75,6.38,136.92,17,2025-05-30
2025-05-14,103302.75,109781.00,6478.25,6.27,143.06,16,2025-05-30
2025-05-15,103158.00,109654.00,6496.00,6.30,153.23,15,2025-05-30
2025-05-16,104083.25,110634.00,6550.75,6.29,164.09,14,2025-05-30
2025-05-19,105574.50,112176.00,6601.50,6.25,207.48,11,2025-05-30
2025-05-20,107078.25,113744.00,6665.75,6.23,227.22,10,2025-05-30
2025-05-21,108686.00,115439.00,6753.00,6.21,251.98,9,2025-05-30
2025-05-22,111194.75,118066.00,6871.25,6.18,281.94,8,2025-05-30
2025-05-23,108735.75,115359.00,6623.25,6.09,317.61,7,2025-05-30
2025-05-26,109173.50,115359.00,6185.50,5.67,517.00,4,2025-05-30
2025-05-27,109932.25,116567.00,6634.75,6.04,734.30,3,2025-05-30
2025-05-28,106977.50,113281.00,6303.50,5.89,1075.36,2,2025-05-30
2025-05-29,105739.50,111782.00,6042.50,5.71,2085.80,1,2025-05-30
2025-05-30,104645.25,110557.00,5911.75,5.65,0.00,0,2025-05-30
2025-06-02,104458.25,110426.00,5967.75,5.71,83.41,25,2025-06-27
2025-06-03,106305.50,112366.00,6060.50,5.70,86.70,24,2025-06-27
2025-06-04,105000.50,110930.00,5929.50,5.65,89.62,23,2025-06-27
2025-06-05,101903.75,107492.00,5588.25,5.48,90.98,22,2025-06-27
2025-06-06,104299.00,110178.00,5879.00,5.64,97.97,21,2025-06-27
2025-06-09,108647.50,114921.00,6273.50,5.77,117.09,18,2025-06-27
2025-06-10,109547.00,116120.00,6573.00,6.00,128.83,17,2025-06-27
2025-06-11,108782.75,114995.00,6212.25,5.71,130.28,16,2025-06-27
2025-06-12,106824.50,111766.00,4941.50,4.63,112.56,15,2025-06-27
2025-06-13,105154.75,110820.00,5665.25,5.39,140.46,14,2025-06-27
2025-06-16,108693.00,114711.00,6018.00,5.54,183.72,11,2025-06-27
2025-06-17,104707.00,109873.00,5166.00,4.93,180.08,10,2025-06-27
2025-06-18,103838.25,110368.00,6529.75,6.29,255.03,9,2025-06-27
2025-06-19,104298.25,109795.00,5496.75,5.27,240.45,8,2025-06-27
2025-06-20,103367.50,108759.00,5391.50,5.22,271.97,7,2025-06-27
2025-06-23,103222.75,109269.00,6046.25,5.86,534.49,4,2025-06-27
2025-06-24,105694.25,111709.00,6014.75,5.69,692.37,3,2025-06-27
2025-06-25,107814.00,113538.00,5724.00,5.31,968.92,2,2025-06-27
2025-06-26,107580.75,113438.00,5857.25,5.44,1987.25,1,2025-06-27
2025-06-27,106880.00,112377.00,5497.00,5.14,0.00,0,2025-06-27
2025-06-30,107777.25,113161.00,5383.75,5.00,72.93,25,2025-07-25
2025-07-01,105421.50,110563.00,5141.50,4.88,74.17,24,2025-07-25
2025-07-02,109764.50,115305.00,5540.50,5.05,80.10,23,2025-07-25
2025-07-03,109844.25,114887.00,5042.75,4.59,76.17,22,2025-07-25
2025-07-07,108056.75,113114.00,5057.25,4.68,94.90,18,2025-07-25
2025-07-08,108811.25,114050.00,5238.75,4.81,103.37,17,2025-07-25
2025-07-09,111761.50,116361.00,4599.50,4.12,93.88,16,2025-07-25
2025-07-10,113413.75,119220.00,5806.25,5.12,124.58,15,2025-07-25
2025-07-11,118159.00,123543.00,5384.00,4.56,118.80,14,2025-07-25
2025-07-14,119947.25,126079.00,6131.75,5.11,169.63,11,2025-07-25
2025-07-15,116390.75,122095.00,5704.25,4.90,178.88,10,2025-07-25
2025-07-16,119315.50,125807.00,6491.50,5.44,220.65,9,2025-07-25
2025-07-17,119018.75,125284.00,6265.25,5.26,240.17,8,2025-07-25
2025-07-18,117435.00,122979.00,5544.00,4.72,246.16,7,2025-07-25
2025-07-21,116780.00,122372.00,5592.00,4.79,436.95,4,2025-07-25
2025-07-22,119344.00,125488.00,6144.00,5.15,626.36,3,2025-07-25
2025-07-23,118431.50,123528.00,5096.50,4.30,785.36,2,2025-07-25
2025-07-24,119017.00,124280.00,5263.00,4.42,1614.05,1,2025-07-25
2025-07-25,116752.25,121952.00,5199.75,4.45,0.00,0,2025-07-25
2025-07-28,118076.50,123142.00,5065.50,4.29,48.93,32,2025-08-29
2025-07-29,117521.75,122402.00,4880.25,4.15,48.89,31,2025-08-29
2025-07-30,116934.00,121704.00,4770.00,4.08,49.63,30,2025-08-29
2025-07-31,116794.00,121513.00,4719.00,4.04,50.85,29,2025-08-29
2025-08-01,113236.25,117513.00,4276.75,3.78,49.23,28,2025-08-29
2025-08-04,114766.25,119288.00,4521.75,3.94,57.52,25,2025-08-29
2025-08-05,113626.25,118119.00,4492.75,3.95,60.13,24,2025-08-29
2025-08-06,115273.25,119852.00,4578.75,3.97,63.04,23,2025-08-29
2025-08-07,117516.50,122268.00,4751.50,4.04,67.08,22,2025-08-29
2025-08-08,116497.00,121016.00,4519.00,3.88,67.42,21,2025-08-29
2025-08-11,119076.50,123613.00,4536.50,3.81,77.25,18,2025-08-29
2025-08-12,119682.25,124327.00,4644.75,3.88,83.33,17,2025-08-29
2025-08-13,122801.00,127716.00,4915.00,4.00,91.30,16,2025-08-29
2025-08-14,118016.75,122527.00,4510.25,3.82,92.99,15,2025-08-29
2025-08-15,117020.00,121306.00,4286.00,3.66,95.49,14,2025-08-29
2025-08-18,116347.25,120649.00,4301.75,3.70,122.68,11,2025-08-29
2025-08-19,113122.75,117167.00,4044.25,3.58,130.49,10,2025-08-29
2025-08-20,114285.50,118439.00,4153.50,3.63,147.39,9,2025-08-29
2025-08-21,112154.25,116184.00,4029.75,3.59,163.93,8,2025-08-29
2025-08-22,116637.50,120907.00,4269.50,3.66,190.87,7,2025-08-29
2025-08-25,110691.00,114761.00,4070.00,3.68,335.52,4,2025-08-29
2025-08-26,111138.50,115092.00,3953.50,3.56,432.80,3,2025-08-29
