date,futures_price
2025-11-12,103495.00
2025-11-13,99823.00
2025-11-14,95998.00
2025-11-17,93561.00
2025-11-18,94533.00
2025-11-19,91130.00
2025-11-20,87936.00
2025-11-21,86064.00
2025-11-24,90718.00
2025-11-25,88933.00
2025-11-26,91471.00
2025-11-28,92230.00
2025-12-01,87902.00
2025-12-02,93086.00
2025-12-03,95262.00
2025-12-04,93642.00
2025-12-05,90514.00
2025-12-08,92655.00
2025-12-09,94057.00
2025-12-10,93809.00
2025-12-11,94295.00
2025-12-12,91430.00
2025-12-15,87356.00
2025-12-16,89026.00
2025-12-17,87184.00
2025-12-18,86733.00
2025-12-19,88996.00
2025-12-22,89335.00
2025-12-23,88737.00
2025-12-24,88434.00
2025-12-26,88645.00
2025-12-29,88242.00
2025-12-30,88948.00
2025-12-31,88570.00
2026-01-02,90893.00
2026-01-05,95322.00
2026-01-06,93518.00
2026-01-07,91946.00
2026-01-08,91815.00
2026-01-09,91109.00
2026-01-12,92374.00
2026-01-13,95453.00
2026-01-14,98728.00
2026-01-15,96098.00
2026-01-16,96410.00
2026-01-20,90364.00
2026-01-21,90933.00
2026-01-22,90142.00
2026-01-23,90197.00
2026-01-26,88268.00
2026-01-27,90087.00
2026-01-28,89774.00
2026-01-29,84710.00
2026-01-30,84640.00
2026-02-02,78755.00
2026-02-03,76420.00
2026-02-04,72795.00
2026-02-05,63270.00
2026-02-06,70505.00
2026-02-09,70565.00
