date,spot_price,futures_price,future_continuous,futures_expiry,basis_absolute,basis_percent,annualized_basis,days_to_expiry
2026-02-02,78738.61,78205.00,,2026-02-27,-533.61,-0.68,-10.31,24
2026-02-03,75770.21,76680.00,,2026-02-27,909.79,1.20,19.05,23
2026-02-04,73165.83,73570.00,,2026-02-27,404.17,0.55,9.16,22
2026-02-05,62909.86,63795.00,,2026-02-27,885.14,1.41,24.45,21
2026-02-06,70580.26,70260.00,,2026-02-27,-320.26,-0.45,-8.28,20
2026-02-09,70138.00,70945.00,,2026-02-27,807.00,1.15,24.70,17
2026-02-10,68841.29,68935.00,,2026-02-27,93.71,0.14,3.11,16
2026-02-11,67082.52,67715.00,,2026-02-27,632.48,0.94,22.94,15
2026-02-12,66272.17,65500.00,,2026-02-27,-772.17,-1.17,-30.38,14
2026-02-13,68853.96,69000.00,,2026-02-27,146.04,0.21,5.96,13
